ID,capacity,diameter,height,manufacturer,lon,lat,type,time_res,bucket,cluster,scalar,offset,run_name,obs_level,country,mode,obs_rank
0003013101_E5,3600.0,117.0,93.0,VESTAS,5.302517219621332,48.876453650003235,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013192_E1,3600.0,117.0,92.7,NORDEX,6.454528188910961,48.873217518458304,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013192_E2,3600.0,117.0,92.7,NORDEX,6.453892182059046,48.8691851177185,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013192_E3,3600.0,117.0,92.7,NORDEX,6.4532324363549645,48.86479331718865,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013192_E4,3600.0,117.0,92.7,NORDEX,6.453369398884498,48.861098639173214,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013192_E5,3600.0,117.0,92.7,NORDEX,6.453494424203185,48.85722425662093,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013192_E6,3600.0,117.0,92.7,NORDEX,6.453380319657845,48.85344678441085,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013215_E1,4500.0,150.0,105.0,VESTAS,4.223404134537332,48.913571346989585,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013215_E2,4500.0,150.0,105.0,VESTAS,4.228259816731506,48.91001405887336,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013215_E3,4500.0,150.0,105.0,VESTAS,4.233085424489637,48.90636692615399,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013215_E4,4500.0,150.0,105.0,VESTAS,4.237937634552785,48.90271930491187,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
