ID,year,month,energy_mwh,n_intervals
BOCORWF1,2020,11,26344.824666666664,8640
BOCORWF1,2020,12,26603.2225,8928
BOCORWF1,2021,1,22338.754416666663,8928
BOCORWF1,2021,2,20333.16058333333,8064
BOCORWF1,2021,3,21804.705833333333,8928
BOCORWF1,2021,4,17099.1825,8640
BOCORWF1,2021,5,24817.411666666667,8928
BOCORWF1,2021,6,31740.120833333334,8640
BOCORWF1,2021,7,44050.76,8928
BOCORWF1,2021,8,37343.36833333333,8928
BOCORWF1,2021,9,41635.865,8640
BOCORWF1,2021,10,28781.1825,8928
BOCORWF1,2021,11,22669.343875,8640
BOCORWF1,2021,12,20014.703333333335,8928
BOCORWF1,2022,1,17214.98282833333,8928
BOCORWF1,2022,2,16640.973916666666,8064
BOCORWF1,2022,3,15155.868583333333,8928
BOCORWF1,2022,4,0.0,8640
BOCORWF1,2022,5,23615.709166666664,8928
BOCORWF1,2022,6,31619.066666666662,8640
BOCORWF1,2022,7,27835.254166666666,8928
BOCORWF1,2022,8,38743.48925,8928
BOCORWF1,2022,9,25521.155,8640
BOCORWF1,2022,10,31186.09333333333,8928
BOCORWF1,2022,11,27882.839999999997,8640
BOCORWF1,2022,12,27068.106666666667,8928
BOCORWF1,2023,1,18083.755833333333,8928
BOCORWF1,2023,2,21399.612499999996,8064
BOCORWF1,2023,3,25464.854166666668,8928
BOCORWF1,2023,4,24858.888333333332,8640
BOCORWF1,2023,5,27481.69,8928
BOCORWF1,2023,6,37874.8375,8640
BOCORWF1,2023,7,30799.3475,8928
BOCORWF1,2023,8,23483.906666666662,8928
BOCORWF1,2023,9,30385.065,8640
BOCORWF1,2023,10,32869.67916666666,8928
BOCORWF1,2023,11,18829.61,8640
BOCORWF1,2023,12,22797.6075,8809
BODWF1,2019,12,248.28167333333332,119
BODWF1,2020,1,31082.917117499997,8928
BODWF1,2020,2,33306.56708583333,8352
BODWF1,2020,3,35777.508518333336,8928
BODWF1,2020,4,24923.09688333333,8640
BODWF1,2020,5,29273.549003333334,8928
BODWF1,2020,6,24884.537534166666,8640
BODWF1,2020,7,24989.52913,8928
BODWF1,2020,8,26557.4868225,8928
BODWF1,2020,9,31174.791358333332,8640
BODWF1,2020,10,27462.4633625,8928
BODWF1,2020,11,29933.810666666664,8640
BODWF1,2020,12,34851.09886416666,8928
BODWF1,2021,1,29625.451963333333,8928
BODWF1,2021,2,28343.2219775,8064
BODWF1,2021,3,33035.656305,8928
BODWF1,2021,4,19473.105134999998,8640
BODWF1,2021,5,20930.286783333333,8928
BODWF1,2021,6,24455.09489416667,8640
BODWF1,2021,7,29558.40923083333,8928
BODWF1,2021,8,27837.578481666664,8928
BODWF1,2021,9,27779.770370833332,8640
BODWF1,2021,10,27631.561587499997,8928
BODWF1,2021,11,36387.456244166664,8640
BODWF1,2021,12,29134.510277499998,8928
BODWF1,2022,1,36775.187842499996,8928
BODWF1,2022,2,33165.52026,8064
BODWF1,2022,3,31898.809924999998,8928
BODWF1,2022,4,30715.014412499997,8640
BODWF1,2022,5,30530.695599166665,8928
BODWF1,2022,6,20392.132370833333,8640
BODWF1,2022,7,31526.429705,8928
BODWF1,2022,8,23154.180578333333,8928
BODWF1,2022,9,27319.140170833332,8640
BODWF1,2022,10,36922.565845833335,8928
BODWF1,2022,11,29493.089037499998,8640
BODWF1,2022,12,28520.124578333332,8928
BODWF1,2023,1,29913.244092499997,8928
BODWF1,2023,2,24890.76429833333,8064
BODWF1,2023,3,26908.099365000002,8928
BODWF1,2023,4,29085.848071666667,8640
BODWF1,2023,5,22161.885449166664,8928
BODWF1,2023,6,22188.714884166668,8640
BODWF1,2023,7,18519.716445,8928
BODWF1,2023,8,19003.325326666665,8928
BODWF1,2023,9,25101.792431666665,8640
BODWF1,2023,10,24736.465125833332,8928
BODWF1,2023,11,25615.016644999996,8640
BODWF1,2023,12,21933.030609166664,8809
BRYB1WF1,2021,2,2032.892435,3863
BRYB1WF1,2021,3,17715.988674999997,8928
BRYB1WF1,2021,4,31819.0669125,8640
BRYB1WF1,2021,5,55978.02143749999,8928
BRYB1WF1,2021,6,46727.0864975,8640
BRYB1WF1,2021,7,76293.21977166667,8928
BRYB1WF1,2021,8,68782.32362999998,8928
BRYB1WF1,2021,9,58656.86781249999,8640
BRYB1WF1,2021,10,42079.851019999995,8928
BRYB1WF1,2021,11,46174.970479166666,8640
BRYB1WF1,2021,12,46287.53530166666,8928
BRYB1WF1,2022,1,45781.563187499996,8928
BRYB1WF1,2022,2,22529.842939166665,8064
BRYB1WF1,2022,3,38865.0252875,8928
BRYB1WF1,2022,4,41237.9998675,8640
BRYB1WF1,2022,5,47262.7421975,8928
BRYB1WF1,2022,6,60132.998616666664,8640
BRYB1WF1,2022,7,30580.42456583333,8928
BRYB1WF1,2022,8,62572.6169,8928
BRYB1WF1,2022,9,45653.296375,8640
BRYB1WF1,2022,10,46968.08320166667,8928
BRYB1WF1,2022,11,41708.824161666664,8640
BRYB1WF1,2022,12,42490.41711333333,8928
BRYB1WF1,2023,1,32638.201157499996,8928
BRYB1WF1,2023,2,35871.83104333333,8064
BRYB1WF1,2023,3,38609.255195,8928
BRYB1WF1,2023,4,37295.4929725,8640
BRYB1WF1,2023,5,52619.9849825,8928
BRYB1WF1,2023,6,71937.83504333333,8640
BRYB1WF1,2023,7,65911.49427083333,8928
BRYB1WF1,2023,8,53295.06954333333,8928
BRYB1WF1,2023,9,47390.593385,8640
BRYB1WF1,2023,10,49525.04447083333,8928
BRYB1WF1,2023,11,31932.1749025,8640
BRYB1WF1,2023,12,47946.826623333334,8809
BRYB2WF2,2022,11,13.253226666666666,608
BRYB2WF2,2022,12,224.233105,8928
BRYB2WF2,2023,1,617.7083791666666,8928
BRYB2WF2,2023,2,3192.015480833333,8064
BRYB2WF2,2023,3,5610.190973333333,8928
BRYB2WF2,2023,4,5966.464831666666,8640
BRYB2WF2,2023,5,26287.507625,8928
BRYB2WF2,2023,6,39265.492153333325,8640
BRYB2WF2,2023,7,37292.06633916666,8928
BRYB2WF2,2023,8,24482.458326666667,8928
BRYB2WF2,2023,9,16654.356213333333,8640
BRYB2WF2,2023,10,21015.759361666664,8928
BRYB2WF2,2023,11,15369.406426666666,8640
BRYB2WF2,2023,12,7374.360268333333,8809
BULGANA1,2020,5,288.0408333333333,5879
BULGANA1,2020,6,1063.6663333333331,8640
BULGANA1,2020,7,8577.506666666666,8928
BULGANA1,2020,8,19907.22775,8928
BULGANA1,2020,9,30237.186999999998,8640
BULGANA1,2020,10,36432.3845,8928
BULGANA1,2020,11,30659.87075,8640
BULGANA1,2020,12,37044.91166666667,8928
BULGANA1,2021,1,40890.21466666666,8928
BULGANA1,2021,2,37215.229666666666,8064
BULGANA1,2021,3,31198.838499999998,8928
BULGANA1,2021,4,27128.12108333333,8640
