cluster,scalar,offset,lon,lat,type,country,elevation,slope,aspect,roughness,curvature,distance_to_coast_km,nearby_mean_correction,nearby_correction_variance,turbine_density,era5_elevation_error,era5_roughness,subgrid_terrain_variance,latitude,longitude,abs_latitude,coastal_latitude
54.0,0.535764375130748,1.9183782655677428,-6.53125,51.529411764705884,onshore,UK,-72.63694688865178,0.24564595021481975,180.0,12.739206389874258,5.640438339666574e-07,46.55423241696261,0.9257423497248243,0.2717609396817293,2,74.66826340920161,3.5475881304591894e-05,0.0,51.529411764705884,-6.53125,51.529411764705884,51.529411764705884
55.0,0.653981410043095,1.4012535624438605,-5.875,51.529411764705884,onshore,UK,-72.63694688865178,0.24564595021481975,180.0,12.739206389874258,5.640438339666574e-07,46.9277871274654,0.6331372042072834,0.09737282907653527,2,73.23030421824446,2.736964961513877e-05,0.0,51.529411764705884,-5.875,51.529411764705884,51.529411764705884
56.0,0.7305100332838186,1.0887029580448122,-5.21875,51.529411764705884,onshore,UK,-72.63694688865178,0.24564595021481975,180.0,12.739206389874258,5.640438339666574e-07,11.724010794935214,0.7399018730211935,0.08592046297809858,2,72.63878914938812,4.441657802090049e-05,0.0,51.529411764705884,-5.21875,51.529411764705884,51.529411764705884
57.0,0.8258223359992921,0.6434043108317629,-4.5625,51.529411764705884,onshore,UK,-68.98953761720415,0.16321667072755752,0.0,24.660333263161576,1.529640798821239e-07,13.765171386958766,0.7959268397462049,0.0654168064623864,2,78.64163952318121,6.968894740566611e-05,25.330719508582206,51.529411764705884,-4.5625,51.529411764705884,51.529411764705884
58.0,0.8613436462085914,0.5605556577501692,-3.90625,51.529411764705884,onshore,UK,-89.66018910424141,0.1472028179160381,0.0,35.11416368287307,7.484741781021804e-07,5.448535907372093,0.9347188776063202,0.10889654160702816,2,139.20709453639714,0.10514778643846512,41.31150512703491,51.529411764705884,-3.90625,51.529411764705884,51.529411764705884
59.0,1.0436154192133484,-0.166222990376609,-3.25,51.529411764705884,onshore,UK,-13.791292136661397,0.12956055063234034,335.587531853622,41.06019207711108,-4.782042530095903e-07,7.770954091810289,0.7482617275922454,0.11308191861634592,2,113.43812975768897,0.32626909017562866,36.92272895747454,51.529411764705884,-3.25,51.529411764705884,51.529411764705884
60.0,0.6351798089758995,1.5940072679229158,-2.59375,51.529411764705884,onshore,UK,-10.474902284625635,0.13612642665319255,316.43550187134736,53.25760171686987,-1.1361872971884818e-06,4.540562993568147,0.9467510281275753,0.09686439108577322,2,88.0640035736744,0.29631751775741577,30.16925813620415,51.529411764705884,-2.59375,51.529411764705884,51.529411764705884
61.0,0.849886637041802,0.6144424037752055,-1.9375,51.529411764705884,onshore,UK,-81.33237658554377,0.45432915790598283,44.58564824794891,39.24811848497543,1.842317840919619e-07,35.81621994174209,0.6447033367718752,0.00952352779597565,2,202.9039094388882,0.4233255982398987,41.59806348507213,51.529411764705884,-1.9375,51.529411764705884,51.529411764705884
62.0,0.6542268645678508,1.4130135799485026,-1.28125,51.529411764705884,onshore,UK,-90.75738413291711,0.18224857202927588,90.0,34.91658523450267,7.811528040632368e-07,45.70119390829684,1.1741453174209318,0.3242586803791297,2,200.54402484674395,0.4245815873146057,21.91166193962635,51.529411764705884,-1.28125,51.529411764705884,51.529411764705884
63.0,1.4984039978000614,-2.2668319954914065,-0.625,51.529411764705884,onshore,UK,7.823026880303075,0.2886306336246957,310.61646852384445,57.015872513449814,-7.472353663473006e-07,52.19932237852941,0.8961457578334114,0.2419188932655606,2,77.00645784753468,0.4364812970161438,61.61669831648265,51.529411764705884,-0.625,51.529411764705884,51.529411764705884
64.0,1.138064651098972,-0.5871302694066929,0.03125,51.529411764705884,onshore,UK,26.324167292834545,0.41146507353524325,28.077595849608713,45.62638550233227,-8.786188142455694e-07,25.86200657613661,1.1440164355095948,0.35438756229046653,2,29.784771300492437,0.5034297108650208,40.83644637657749,51.529411764705884,0.03125,51.529411764705884,51.529411764705884
